,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min]
9782,140.595,275.4973152700318,2578.606823328322,263.76044026035606,2548.691520295197,98.85657798196668,142.94106155452945,750.5730851973453,4.215883961808283,2306.0
9783,140.605,275.4958558255392,2578.6067689230777,263.7623829501555,2548.691520295197,98.85650131390537,142.94181852847782,750.5730851973453,4.216281015052709,2306.0
9784,140.615,275.49439688799464,2578.606714535076,263.7643250014476,2548.691520295197,98.85642464584407,142.94257524750225,750.5730851973453,4.216678070401611,2306.0
9785,140.625,275.4929384572165,2578.606660164313,263.7662664147687,2548.691520295197,98.85634797778276,142.94333171168847,750.5730851973453,4.217075127854281,2306.0
9786,140.635,275.49148053302366,2578.6066058107826,263.76820718890167,2548.691520295197,98.85627130972145,142.94408792112236,750.5730851973453,4.217472187410012,2306.0
9787,140.645,275.4900231152349,2578.60655147448,263.7701473255544,2548.691520295197,98.85619464166014,142.94484387588952,750.5730851973453,4.217869249068093,2306.0
9788,140.655,275.4885662036694,2578.6064971554006,263.77208682423816,2548.691520295197,98.85611797359883,142.94559957607586,750.5730851973453,4.218266312827818,2306.0
9789,140.665,275.48710979814564,2578.6064428535387,263.77402568511263,2548.691520295197,98.85604130553753,142.9463550217671,750.5730851973453,4.218663378688478,2306.0
9790,140.675,275.4856538984828,2578.6063885688905,263.77596390859134,2548.691520295197,98.85596463747622,142.9471102130488,750.5730851973453,4.219060446649366,2306.0
9791,140.685,275.4841985045,2578.60633430145,263.77790149512475,2548.691520295197,98.85588796941491,142.94786515000675,750.5730851973453,4.219457516709775,2306.0
9792,140.695,275.48274361601625,2578.6062800512123,263.7798384440519,2548.691520295197,98.85581130135361,142.94861983272654,750.5730851973453,4.219854588868997,2306.0
9793,140.705,275.48128923285077,2578.606225818172,263.78177475654394,2548.691520295197,98.8557346332923,142.9493742612937,750.5730851973453,4.2202516631263265,2306.0
9794,140.715,275.4798353548231,2578.606171602325,263.78371043233767,2548.691520295197,98.85565796523099,142.95012843579394,750.5730851973453,4.220648739481057,2306.0
9795,140.725,275.4783819817522,2578.6061174036654,263.7856454720859,2548.691520295197,98.85558129716968,142.9508823563127,750.5730851973453,4.221045817932481,2306.0
9796,140.735,275.4769291134577,2578.6060632221893,263.78757987456214,2548.691520295197,98.85550462910838,142.95163602293553,750.5730851973453,4.221442898479892,2306.0
9797,140.745,275.47547674975885,2578.606009057891,263.7895136418204,2548.691520295197,98.85542796104707,142.95238943574782,750.5730851973453,4.221839981122586,2306.0
9798,140.755,275.4740248904757,2578.605954910765,263.7914467730189,2548.691520295197,98.85535129298576,142.95314259483524,750.5730851973453,4.222237065859856,2306.0
9799,140.76500000000001,275.47257353542733,2578.6059007808067,263.79337926922324,2548.691520295197,98.85527462492446,142.95389550028304,750.5730851973453,4.222634152690998,2306.0
9800,140.775,275.4711226844337,2578.6058466680115,263.7953111293948,2548.691520295197,98.85519795686315,142.95464815217673,750.5730851973453,4.223031241615304,2306.0
9801,140.785,275.4696723373143,2578.605792572374,263.7972423547558,2548.691520295197,98.85512128880184,142.95540055060152,750.5730851973453,4.223428332632072,2306.0
9802,140.795,275.46822249388936,2578.6057384938895,263.7991729445232,2548.691520295197,98.85504462074054,142.95615269564294,750.5730851973453,4.223825425740597,2306.0
9803,140.805,275.4667731539784,2578.605684432552,263.8011029001549,2548.691520295197,98.85496795267923,142.95690458738613,750.5730851973453,4.224222520940173,2306.0
9804,140.815,275.4653243174017,2578.6056303883583,263.80303222090004,2548.691520295197,98.85489128461792,142.95765622591654,750.5730851973453,4.224619618230097,2306.0
9805,140.825,275.46387598397894,2578.6055763613017,263.80496090752774,2548.691520295197,98.85481461655661,142.9584076113193,750.5730851973453,4.225016717609664,2306.0
9806,140.835,275.46242815353054,2578.605522351378,263.8068889594306,2548.691520295197,98.85473794849531,142.95915874367972,750.5730851973453,4.225413819078172,2306.0
9807,140.845,275.46098082587633,2578.6054683585817,263.80881637800024,2548.691520295197,98.854661280434,142.9599096230829,750.5730851973453,4.225810922634916,2306.0
9808,140.855,275.4595340008369,2578.6054143829087,263.8107431623666,2548.691520295197,98.85458461237269,142.96066024961416,750.5730851973453,4.226208028279193,2306.0
9809,140.865,275.4580876782322,2578.605360424353,263.8126693132506,2548.691520295197,98.8545079443114,142.9614106233585,750.5730851973453,4.2266051360103,2306.0
9810,140.875,275.4566418578828,2578.6053064829102,263.8145948305941,2548.691520295197,98.85443127625008,142.96216074440107,750.5730851973453,4.227002245827534,2306.0
9811,140.885,275.455196539609,2578.6052525585746,263.8165197150346,2548.691520295197,98.85435460818877,142.962910612827,750.5730851973453,4.227399357730194,2306.0
9812,140.895,275.45375172323145,2578.6051986513426,263.8184439665584,2548.691520295197,98.85427794012746,142.9636602287213,750.5730851973453,4.227796471717577,2306.0
9813,140.905,275.45230740857056,2578.605144761208,263.82036758531495,2548.691520295197,98.85420127206615,142.96440959216903,750.5730851973453,4.228193587788979,2306.0
9814,140.915,275.4508635954471,2578.605090888166,263.82229057134526,2548.691520295197,98.85412460400485,142.96515870325516,750.5730851973453,4.2285907059437005,2306.0
